0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Semana
21A,21A,21A,21A,22B,22B,22B,22B,22B,22B,23C,23C,23C,23C,23C,23C,
Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,2.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,3.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,4.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,5.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,6.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,7.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,8.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,9.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,10.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,11.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,12.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,13.0
1.82,3895110216.4153285,-9151100949.423096,-9630207940.487917,,213027450.18522596,1.561,2312831674.299999,-4353163658.840502,-363335193.2359594,,1255316127.5691347,1.42,5867076911.480407,-10246250027.216513,-11501566154.785648,1.0
1.82,3895110216.4153285,-9151100949.423096,-9630207940.487917,,213027450.18522596,1.561,2312831674.299999,-4353163658.840502,-363335193.2359594,,1255316127.5691347,1.42,5867076911.480407,-10246250027.216513,-11501566154.785648,2.0
1.82,3895110216.4153285,-9151100949.423096,-9630207940.487917,,213027450.18522596,1.561,2312831674.299999,-4353163658.840502,-363335193.2359594,,1255316127.5691347,1.42,5867076911.480407,-10246250027.216513,-11501566154.785648,3.0
